ligand,receptor,TF
None,TNFRSF1A,SOX2
None,TNFRSF1A,PIAS1
None,TNFRSF1A,BCL3
None,TNFRSF1A,RUNX3
None,TNFRSF1A,SP100
None,TNFRSF1A,BMI1
None,TNFRSF1A,IRF7
None,TNFRSF1A,EP300
None,TNFRSF1A,LEF1
None,TNFRSF1A,ATM
None,TNFRSF1A,RXRA
None,TNFRSF1A,IKZF1
None,TNFRSF1A,MTA2
None,TNFRSF1A,IRF3
None,TNFRSF1A,LYL1
None,TNFRSF1A,EOMES
None,TNFRSF1A,RELB
None,TNFRSF1A,FOXO1
None,TNFRSF1A,TP63
None,TNFRSF1A,USF1
None,TNFRSF1A,ABL1
None,TNFRSF1A,IRF5
None,TNFRSF1A,HOXB4
None,TNFRSF1A,MDM2
None,TNFRSF1A,ETS1
None,TNFRSF1A,STAT3
None,TNFRSF1A,ZBTB16
None,TNFRSF1A,DNMT1
None,TNFRSF1A,CEBPA
None,TNFRSF1A,ATF6
None,TNFRSF1A,IKBKB
None,TNFRSF1A,POU3F1
None,TNFRSF1A,PIAS4
None,TNFRSF1A,PGR
None,TNFRSF1A,REL
None,TNFRSF1A,TP53BP1
None,TNFRSF1A,RELA
None,TNFRSF1A,CEBPB
None,TNFRSF1A,NR4A1
None,TNFRSF1A,BRCA1
None,TNFRSF1A,TRIM25
None,TNFRSF1A,AR
None,TNFRSF1A,SPI1
None,TNFRSF1A,SIRT1
None,TNFRSF1A,NOTCH3
None,TNFRSF1A,CEBPD
None,TNFRSF1A,CTNNB1
None,TNFRSF1A,MYC
None,TNFRSF1A,NPM1
None,TNFRSF1A,EGR1
None,TNFRSF1A,HDAC1
None,TNFRSF1A,SPIB
None,TNFRSF1A,NELFCD
None,TNFRSF1A,BCL6
None,TNFRSF1A,APEX1
None,TNFRSF1A,APBB1
None,TNFRSF1A,SMAD4
None,TNFRSF1A,EZH2
None,TNFRSF1A,NR4A2
None,TNFRSF1A,HIF1A
None,TNFRSF1A,DDIT3
None,TNFRSF1A,NR2C2
None,TNFRSF1A,PRDM1
None,TNFRSF1A,KLF2
None,TNFRSF1A,PPARG
None,TNFRSF1A,FHL2
None,TNFRSF1A,NFKBIZ
None,TNFRSF1A,RBPJ
None,TNFRSF1A,CTBP1
None,TNFRSF1A,GATA2
None,TNFRSF1A,KHDRBS1
None,TNFRSF1A,PAX5
None,EPHA8,APC
None,EPHA8,LMX1B
None,EPHA8,STAT2
None,EPHA8,ZIC3
None,EPHA8,PBX2
None,EPHA8,SPEN
None,EPHA8,FOXD3
None,EPHA8,TRIB3
None,EPHA8,NANOG
None,EPHA8,SMAD3
