Receptor,TF,Source
CRHR1,CREB3L4,CellCall
CRHR2,ATF4,CellCall
CRHR2,CREB1,CellCall
CRHR2,ATF2,CellCall
CRHR2,ATF6B,CellCall
CRHR2,NR4A1,CellCall
CRHR2,CREB5,CellCall
CRHR2,CREB3,CellCall
CRHR2,CREB3L2,CellCall
CRHR2,CREB3L3,CellCall
CRHR2,CREB3L1,CellCall
CRHR2,CREB3L4,CellCall
CSF1R,ATF4,CellCall
CSF1R,BRCA1,CellCall
CSF1R,CREB1,CellCall
CSF1R,ATF2,CellCall
CSF1R,ATF6B,CellCall
CSF1R,FOXO3,CellCall
CSF1R,NR4A1,CellCall
CSF1R,IKBKB,CellCall
CSF1R,MDM2,CellCall
CSF1R,MYB,CellCall
CSF1R,MYC,CellCall
CSF1R,NFKB1,CellCall
CSF1R,RBL2,CellCall
CSF1R,RELA,CellCall
CSF1R,RXRA,CellCall
CSF1R,TP53,CellCall
CSF1R,CREB5,CellCall
CSF1R,CREB3,CellCall
CSF1R,CREB3L2,CellCall
CSF1R,CREB3L3,CellCall
CSF1R,CREB3L1,CellCall
CSF1R,CREB3L4,CellCall
CSF2RA,MYC,CellCall
CSF2RA,STAT1,CellCall
CSF2RA,STAT2,CellCall
CSF2RA,STAT3,CellCall
CSF2RA,STAT4,CellCall
CSF2RA,STAT5A,CellCall
CSF2RA,STAT5B,CellCall
CSF2RA,STAT6,CellCall
CSF2RA,IRF9,CellCall
CSF2RB,MYC,CellCall
CSF2RB,STAT1,CellCall
CSF2RB,STAT2,CellCall
CSF2RB,STAT3,CellCall
CSF2RB,STAT4,CellCall
CSF2RB,STAT5A,CellCall
CSF2RB,STAT5B,CellCall
CSF2RB,STAT6,CellCall
CSF2RB,IRF9,CellCall
CSF3R,MYC,CellCall
CSF3R,STAT1,CellCall
CSF3R,STAT2,CellCall
CSF3R,STAT3,CellCall
CSF3R,STAT4,CellCall
CSF3R,STAT5A,CellCall
CSF3R,STAT5B,CellCall
CSF3R,STAT6,CellCall
CSF3R,IRF9,CellCall
IL3RA,MYC,CellCall
IL3RA,STAT1,CellCall
IL3RA,STAT2,CellCall
IL3RA,STAT3,CellCall
