complex,subunit,category
GABRA3&GABRB3&GABRG2,GABRA3,Receptor
GABRA3&GABRB3&GABRG2,GABRB3,Receptor
GABRA3&GABRB3&GABRG2,GABRG2,Receptor
CRABP2&RARB&RXRB,CRABP2,Receptor
CRABP2&RARB&RXRB,RARB,Receptor
CRABP2&RARB&RXRB,RXRB,Receptor
GABRA5&GABRB3&GABRG2,GABRA5,Receptor
GABRA5&GABRB3&GABRG2,GABRB3,Receptor
GABRA5&GABRB3&GABRG2,GABRG2,Receptor
GABRA2&GABRB3&GABRG2,GABRA2,Receptor
GABRA2&GABRB3&GABRG2,GABRB3,Receptor
GABRA2&GABRB3&GABRG2,GABRG2,Receptor
GABRA4&GABRB3&GABRG2,GABRA4,Receptor
GABRA4&GABRB3&GABRG2,GABRB3,Receptor
GABRA4&GABRB3&GABRG2,GABRG2,Receptor
GABRA4&GABRB2&GABRD,GABRA4,Receptor
GABRA4&GABRB2&GABRD,GABRB2,Receptor
GABRA4&GABRB2&GABRD,GABRD,Receptor
GABRA3&GABRB3&GABRQ,GABRA3,Receptor
GABRA3&GABRB3&GABRQ,GABRB3,Receptor
GABRA3&GABRB3&GABRQ,GABRQ,Receptor
GABRA1&GABRB3&GABRG2,GABRA1,Receptor
GABRA1&GABRB3&GABRG2,GABRB3,Receptor
GABRA1&GABRB3&GABRG2,GABRG2,Receptor
GABRA6&GABRB3&GABRD,GABRA6,Receptor
GABRA6&GABRB3&GABRD,GABRB3,Receptor
GABRA6&GABRB3&GABRD,GABRD,Receptor
GABRA1&GABRB3,GABRA1,Receptor
GABRA1&GABRB3,GABRB3,Receptor
GABRA1&GABRB2&GABRG2,GABRA1,Receptor
GABRA1&GABRB2&GABRG2,GABRB2,Receptor
GABRA1&GABRB2&GABRG2,GABRG2,Receptor
GABRA1&GABRB2,GABRA1,Receptor
GABRA1&GABRB2,GABRB2,Receptor
GABRA3&GABRB3&GABRE,GABRA3,Receptor
GABRA3&GABRB3&GABRE,GABRB3,Receptor
GABRA3&GABRB3&GABRE,GABRE,Receptor
CHRNA1&CHRNB1&CHRND&CHRNG,CHRNA1,Receptor
CHRNA1&CHRNB1&CHRND&CHRNG,CHRNB1,Receptor
CHRNA1&CHRNB1&CHRND&CHRNG,CHRND,Receptor
CHRNA1&CHRNB1&CHRND&CHRNG,CHRNG,Receptor
CHRNA1&CHRNB1&CHRND&CHRNE,CHRNA1,Receptor
CHRNA1&CHRNB1&CHRND&CHRNE,CHRNB1,Receptor
CHRNA1&CHRNB1&CHRND&CHRNE,CHRND,Receptor
CHRNA1&CHRNB1&CHRND&CHRNE,CHRNE,Receptor
CHRNA4&CHRNB2,CHRNA4,Receptor
CHRNA4&CHRNB2,CHRNB2,Receptor
CHRNA3&CHRNB4,CHRNA3,Receptor
CHRNA3&CHRNB4,CHRNB4,Receptor
GABRA6&GABRB3&GABRG2,GABRA6,Receptor
GABRA6&GABRB3&GABRG2,GABRB3,Receptor
GABRA6&GABRB3&GABRG2,GABRG2,Receptor
GABRA4&GABRB3&GABRD,GABRA4,Receptor
GABRA4&GABRB3&GABRD,GABRB3,Receptor
GABRA4&GABRB3&GABRD,GABRD,Receptor
FZD4&LRP5,FZD4,Receptor
FZD4&LRP5,LRP5,Receptor
EZR&L1CAM,EZR,Receptor
EZR&L1CAM,L1CAM,Receptor
CHRNA2&CHRNB3,CHRNA2,Receptor
