complex,category,subunit
ACVR1&BMPR2,Receptor,ACVR1
ACVR1&BMPR2,Receptor,BMPR2
IL11RA&IL6ST,Receptor,IL11RA
IL11RA&IL6ST,Receptor,IL6ST
IL10RA&IL10RB,Receptor,IL10RA
IL10RA&IL10RB,Receptor,IL10RB
ACVR1B&ACVR2A&CFC1,Receptor,ACVR1B
ACVR1B&ACVR2A&CFC1,Receptor,ACVR2A
ACVR1B&ACVR2A&CFC1,Receptor,CFC1
ACVR1C&ACVR2A&CFC1,Receptor,ACVR1C
ACVR1C&ACVR2A&CFC1,Receptor,ACVR2A
ACVR1C&ACVR2A&CFC1,Receptor,CFC1
ACVR1B&ACVR2B&CFC1,Receptor,ACVR1B
ACVR1B&ACVR2B&CFC1,Receptor,ACVR2B
ACVR1B&ACVR2B&CFC1,Receptor,CFC1
GFRA2&RET,Receptor,GFRA2
GFRA2&RET,Receptor,RET
GFRA1&RET,Receptor,GFRA1
GFRA1&RET,Receptor,RET
IL15RA&IL2RB&IL2RG,Receptor,IL15RA
IL15RA&IL2RB&IL2RG,Receptor,IL2RB
IL15RA&IL2RB&IL2RG,Receptor,IL2RG
IL2RA&IL2RB&IL2RG,Receptor,IL2RA
IL2RA&IL2RB&IL2RG,Receptor,IL2RB
IL2RA&IL2RB&IL2RG,Receptor,IL2RG
IL2RB&IL2RG,Receptor,IL2RB
IL2RB&IL2RG,Receptor,IL2RG
IL20RA&IL20RB&IL2RG,Receptor,IL20RA
IL20RA&IL20RB&IL2RG,Receptor,IL20RB
IL20RA&IL20RB&IL2RG,Receptor,IL2RG
IL20RB&IL22RA1,Receptor,IL20RB
IL20RB&IL22RA1,Receptor,IL22RA1
IL20RA&IL20RB,Receptor,IL20RA
IL20RA&IL20RB,Receptor,IL20RB
IL18R1&IL18RAP,Receptor,IL18R1
IL18R1&IL18RAP,Receptor,IL18RAP
IL18&IL18R1&IL18RAP,Receptor,IL18
IL18&IL18R1&IL18RAP,Receptor,IL18R1
IL18&IL18R1&IL18RAP,Receptor,IL18RAP
LGR5&LRP5,Receptor,LGR5
LGR5&LRP5,Receptor,LRP5
LGR4&LRP5,Receptor,LGR4
LGR4&LRP5,Receptor,LRP5
